GT170 GHz magnetic field and derivatives for I1,..,I5=61.56 66.45 113.43 108.09  [A]
------------------------------------------------------------- 
Cathode is located in z_cat=0.136 [m] 
Cavity  is located in z_cav=0.49967 [m] 
 z [m]   Bz [T]   dBz/dz [T/m]    d2Bz/dz2 [T/m2]   Bz(r=25mm)   Br(r=25mm)   dBz/dz(r=25mm)  dBz/dr(r=25mm)   
 0.16700    0.28886      3.39869      120.26758      0.27013      -0.04024       3.03807      -1.49265   
 0.16800    0.29232      3.52010      122.55651      0.27323      -0.04174       3.15778      -1.52188   
 0.16900    0.29590      3.64381      124.85525      0.27645      -0.04328       3.27988      -1.55124   
 0.17000    0.29960      3.76982      127.16314      0.27979      -0.04485       3.40439      -1.58074   
 0.17100    0.30344      3.89814      129.47952      0.28326      -0.04644       3.53131      -1.61036   
 0.17200    0.30740      4.02878      131.80369      0.28685      -0.04807       3.66066      -1.64011   
 0.17300    0.31150      4.16175      134.13494      0.29058      -0.04972       3.79246      -1.66996   
 0.17400    0.31573      4.29705      136.47253      0.29444      -0.05141       3.92670      -1.69991   
 0.17500    0.32009      4.43469      138.81572      0.29843      -0.05312       4.06340      -1.72995   
 0.17600    0.32460      4.57468      141.16372      0.30257      -0.05487       4.20257      -1.76008   
 0.17700    0.32924      4.71702      143.51575      0.30684      -0.05664       4.34421      -1.79027   
 0.17800    0.33403      4.86172      145.87098      0.31126      -0.05845       4.48834      -1.82053   
 0.17900    0.33897      5.00877      148.22859      0.31582      -0.06028       4.63495      -1.85083   
 0.18000    0.34405      5.15817      150.58770      0.32053      -0.06215       4.78406      -1.88118   
 0.18100    0.34928      5.30994      152.94745      0.32539      -0.06405       4.93567      -1.91156   
 0.18200    0.35467      5.46407      155.30694      0.33040      -0.06597       5.08977      -1.94195   
 0.18300    0.36021      5.62056      157.66523      0.33557      -0.06793       5.24639      -1.97235   
 0.18400    0.36591      5.77940      160.02140      0.34089      -0.06992       5.40551      -2.00275   
 0.18500    0.37177      5.94060      162.37448      0.34638      -0.07194       5.56714      -2.03313   
 0.18600    0.37779      6.10415      164.72348      0.35203      -0.07398       5.73128      -2.06348   
 0.18700    0.38398      6.27004      167.06741      0.35784      -0.07606       5.89792      -2.09378   
 0.18800    0.39033      6.43828      169.40525      0.36382      -0.07817       6.06706      -2.12403   
 0.18900    0.39686      6.60885      171.73594      0.36998      -0.08031       6.23871      -2.15421   
 0.19000    0.40355      6.78175      174.05843      0.37630      -0.08248       6.41286      -2.18431   
 0.19100    0.41042      6.95696      176.37164      0.38280      -0.08468       6.58949      -2.21431   
 0.19200    0.41747      7.13449      178.67446      0.38948      -0.08691       6.76861      -2.24420   
 0.19300    0.42469      7.31431      180.96578      0.39634      -0.08917       6.95021      -2.27396   
 0.19400    0.43210      7.49642      183.24447      0.40338      -0.09146       7.13427      -2.30358   
 0.19500    0.43969      7.68079      185.50937      0.41061      -0.09378       7.32079      -2.33305   
 0.19600    0.44746      7.86743      187.75931      0.41803      -0.09612       7.50975      -2.36235   
 0.19700    0.45542      8.05631      189.99310      0.42563      -0.09850       7.70115      -2.39146   
 0.19800    0.46357      8.24741      192.20955      0.43343      -0.10091       7.89497      -2.42037   
 0.19900    0.47192      8.44072      194.40744      0.44142      -0.10334       8.09118      -2.44907   
 0.20000    0.48045      8.63622      196.58554      0.44961      -0.10580       8.28979      -2.47753   
 0.20100    0.48919      8.83388      198.74261      0.45800      -0.10830       8.49076      -2.50574   
 0.20200    0.49812      9.03370      200.87739      0.46659      -0.11082       8.69408      -2.53368   
 0.20300    0.50726      9.23563      202.98862      0.47539      -0.11336       8.89973      -2.56134   
 0.20400    0.51660      9.43966      205.07502      0.48439      -0.11594       9.10768      -2.58871   
 0.20500    0.52614      9.64577      207.13529      0.49361      -0.11854       9.31792      -2.61575   
 0.20600    0.53589      9.85393      209.16815      0.50303      -0.12117       9.53041      -2.64246   
 0.20700    0.54585     10.06410      211.17229      0.51267      -0.12382       9.74513      -2.66882   
 0.20800    0.55602     10.27626      213.14639      0.52252      -0.12651       9.96205      -2.69481   
 0.20900    0.56640     10.49038      215.08915      0.53259      -0.12921      10.18114      -2.72041   
 0.21000    0.57700     10.70643      216.99924      0.54288      -0.13195      10.40238      -2.74561   
 0.21100    0.58781     10.92437      218.87532      0.55340      -0.13471      10.62572      -2.77039   
 0.21200    0.59885     11.14417      220.71608      0.56414      -0.13749      10.85113      -2.79473   
 0.21300    0.61010     11.36579      222.52018      0.57510      -0.14029      11.07858      -2.81861   
 0.21400    0.62158     11.58919      224.28628      0.58629      -0.14312      11.30803      -2.84202   
 0.21500    0.63328     11.81435      226.01307      0.59772      -0.14598      11.53944      -2.86493   
 0.21600    0.64521     12.04121      227.69920      0.60937      -0.14885      11.77278      -2.88733   
 0.21700    0.65736     12.26973      229.34336      0.62126      -0.15175      12.00799      -2.90921   
 0.21800    0.66975     12.49988      230.94421      0.63339      -0.15467      12.24504      -2.93054   
 0.21900    0.68236     12.73161      232.50045      0.64576      -0.15761      12.48389      -2.95130   
 0.22000    0.69521     12.96487      234.01075      0.65836      -0.16058      12.72447      -2.97148   
 0.22100    0.70829     13.19961      235.47382      0.67120      -0.16356      12.96676      -2.99107   
 0.22200    0.72161     13.43580      236.88836      0.68429      -0.16656      13.21069      -3.01004   
 0.22300    0.73517     13.67337      238.25309      0.69763      -0.16958      13.45622      -3.02837   
